Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,target
-2.976,52.96,722,712,12775,19544,939.141,2.57,2.67,17.7,2.76,0.062,9986,1
7.723,50.3,1013,400,13002,19480,938.702,2.42,2.51,16.64,2.595,0.059,20704,1
27.15,47.1,1117,400,12884,19449,938.825,1.69,1.75,11.62,1.812,0.041,15810,1
26.2,51.83,1272,400,12985,19409,938.695,1.71,1.78,11.77,1.836,0.041,23704,1
24.51,53.68,1233,405,12915,19420,938.703,1.7,1.77,11.71,1.826,0.041,18716,1
15.867,49.24,1226,501,12848,19426,938.912,1.61,1.68,11.11,1.732,0.039,14374,1
24.98,51.56,1157,408,12896,19430,938.76,1.6,1.66,11.0,1.715,0.039,17318,1
25.019,49.1,1,400,13136,20041,939.602,1.01,1.05,6.95,1.084,0.024,1671,0
14.863,47.72,1174,634,12791,19438,939.084,2.04,2.12,14.03,2.188,0.049,11792,1
14.55,50.07,4,400,12849,19824,939.839,0.17,0.17,1.15,0.179,0.004,593,0
14.658,60.43,494,400,12991,20647,937.09,1.31,1.36,9.04,1.409,0.032,3933,0
26.781,54.58,16,400,13069,19941,939.696,0.46,0.48,3.17,0.495,0.011,1283,0
-7.648,26.92,60000,14534,11152,16361,936.849,6905.69,7323.3,47155.9,7589.246,311.578,4974,0
18.57,55.72,262,400,13122,20009,939.51,0.43,0.45,2.95,0.46,0.01,7242,1
21.31,60.91,866,959,12650,19522,939.144,2.43,2.52,16.71,2.606,0.059,9667,1
-4.79,52.76,354,400,13078,19905,939.365,0.31,0.33,2.16,0.336,0.008,8518,1
-17.198,54.33,1419,416,12971,19374,938.684,1.56,1.62,10.71,1.671,0.038,23820,1
14.316,49.54,245,438,12760,20472,937.468,1.77,1.84,12.17,1.898,0.043,3379,0
22.131,52.89,52,400,13123,19999,939.629,0.76,0.79,5.26,0.821,0.019,2048,0
-3.547,52.55,116,400,13215,20098,939.655,1.82,1.89,12.53,1.954,0.044,4305,1
16.83,52.09,0,400,13101,19983,939.727,0.43,0.44,2.94,0.458,0.01,1303,0
-9.177,40.94,60,400,12793,20666,937.49,1.64,1.71,11.3,1.762,0.04,1306,0
27.04,47.52,1132,400,12900,19442,938.772,1.4,1.45,9.61,1.498,0.034,16943,1
38.45,16.62,599,13023,11864,19518,930.937,2.85,2.96,19.63,3.061,0.069,454,1
-3.533,51.01,686,778,12744,19569,939.16,3.02,3.14,20.8,3.243,0.073,9882,1
20.517,47.54,1143,400,12930,19442,938.69,1.49,1.54,10.23,1.595,0.036,19286,1
0.341,49.35,887,677,12791,19504,939.106,2.27,2.36,15.61,2.434,0.055,10423,1
26.679,40.87,71,451,12829,20712,937.571,2.0,2.08,13.76,2.146,0.048,175,0
26.15,51.89,1281,400,12998,19408,938.8,2.03,2.11,13.95,2.175,0.049,24604,1
20.199,50.8,1155,520,12844,19446,938.902,1.54,1.6,10.61,1.654,0.037,13384,1
-5.136,41.31,125,400,12789,20596,937.347,1.83,1.91,12.63,1.969,0.044,2031,0
27.104,53.85,0,400,13034,19932,939.751,0.12,0.13,0.86,0.134,0.003,977,0
18.09,49.03,1,400,13117,20012,939.685,0.43,0.45,2.97,0.462,0.01,1499,0
-3.014,52.37,1268,400,12969,19415,938.699,1.86,1.93,12.78,1.993,0.045,21363,1
26.39,48.25,1002,643,12795,19469,939.088,2.26,2.35,15.56,2.426,0.055,11016,1
26.6,49.36,1105,422,12882,19459,938.824,1.91,1.98,13.15,2.05,0.046,15247,1
41.02,14.41,1069,16633,11680,19315,930.936,2.01,2.08,13.81,2.154,0.049,489,1
19.78,62.28,262,400,13148,19955,939.666,1.81,1.88,12.46,1.943,0.044,3351,1
22.01,49.57,103,400,13227,20111,939.655,2.58,2.68,17.73,2.764,0.062,4331,1
-6.066,56.1,219,400,13136,20037,939.61,0.79,0.82,5.44,0.848,0.019,6775,1
26.945,57.5,0,400,13006,19932,939.754,0.37,0.39,2.57,0.4,0.009,860,0
7.046,52.7,1184,400,12975,19433,938.723,2.12,2.21,14.62,2.279,0.051,20748,1
15.983,53.81,1147,401,12900,19438,938.74,1.65,1.72,11.38,1.774,0.04,17460,1
20.53,47.1,59,400,13205,20113,939.626,0.73,0.76,5.02,0.782,0.018,2553,0
24.45,53.67,1164,421,12892,19444,938.745,1.69,1.76,11.64,1.816,0.041,16856,1
11.26,53.96,33,421,12524,19614,939.801,0.2,0.63,0.36,0.718,0.409,96,0
24.52,53.59,1385,404,12960,19387,938.715,1.49,1.55,10.25,1.599,0.036,22069,1
-5.402,52.39,1254,400,13002,19409,938.784,1.84,1.91,12.68,1.977,0.045,24363,1
-14.556,52.42,1366,411,12977,19386,938.746,1.6,1.66,11.02,1.718,0.039,23979,1
24.3,53.39,1059,623,12812,19474,939.056,1.93,2.01,13.29,2.073,0.047,11693,1
1.875,43.3,140,424,12782,20580,937.346,1.92,1.99,13.21,2.059,0.047,2432,0
24.52,53.52,1168,400,12897,19432,938.76,1.84,1.91,12.67,1.975,0.045,17333,1
13.822,50.05,1082,400,12901,19455,938.746,1.66,1.72,11.42,1.781,0.04,16866,1
13.734,51.24,1187,421,12886,19437,938.751,1.39,1.45,9.58,1.493,0.034,16837,1
-20.912,47.89,1341,400,12969,19387,938.728,1.72,1.79,11.85,1.847,0.042,22763,1
20.96,50.08,246,400,13136,20025,939.497,0.55,0.57,3.77,0.588,0.013,7272,1
24.854,52.44,33,400,12722,19737,939.844,0.13,0.17,0.86,0.175,0.028,433,0
12.216,48.33,143,400,13168,20032,939.619,0.84,0.87,5.77,0.899,0.02,2950,0
54.41,20.14,32000,719,12646,18751,936.898,0.43,0.45,2.98,0.464,0.01,4528,0
19.92,53.57,28,400,13260,20193,939.67,2.36,2.45,16.26,2.535,0.057,4613,1
13.464,50.57,1088,400,12895,19454,938.746,1.6,1.66,11.02,1.718,0.039,16745,1
25.3,49.23,1140,497,12846,19446,938.939,1.89,1.96,12.98,2.024,0.046,13954,1
18.058,49.05,1151,401,12907,19450,938.705,1.54,1.6,10.59,1.651,0.037,17949,1
17.772,53.89,1059,400,12916,19458,938.705,1.71,1.78,11.78,1.837,0.041,17881,1
26.94,47.83,1350,400,12972,19388,938.704,1.79,1.86,12.3,1.919,0.043,23185,1
-5.227,43.97,155,407,12789,20575,937.349,2.08,2.16,14.34,2.236,0.05,2068,0
-4.08,55.05,305,400,13105,19962,939.426,0.3,0.31,2.06,0.322,0.007,7741,1
20.819,48.87,171,413,12768,20550,937.383,1.45,1.5,9.96,1.554,0.035,2955,0
-7.639,54.52,22,400,13255,20192,939.673,2.57,2.67,17.66,2.753,0.062,4853,1
20.95,49.92,299,400,13116,19961,939.408,0.3,0.31,2.09,0.325,0.007,7950,1
-2.929,51.28,121,400,13214,20092,939.657,2.13,2.22,14.68,2.289,0.052,4240,1
23.933,52.42,29,400,13139,20026,939.627,0.68,0.7,4.65,0.726,0.016,1829,0
24.37,54.27,1295,421,12928,19399,938.739,1.37,1.42,9.42,1.469,0.033,20277,1
24.3,54.12,1366,425,12982,19385,938.8,1.82,1.89,12.52,1.953,0.044,24418,1
26.19,51.91,1040,408,12880,19477,938.819,1.99,2.06,13.66,2.131,0.048,15063,1
51.53,23.4,60000,23542,10902,15961,936.837,10032.89,15095.45,57314.72,16355.055,4777.922,5034,0
25.55,54.24,1316,400,12979,19404,938.729,2.06,2.14,14.18,2.211,0.05,22681,1
8.027,51.63,1002,400,13016,19474,938.72,2.66,2.76,18.31,2.855,0.064,20684,1
18.121,47.49,1157,406,12910,19440,938.707,1.54,1.6,10.57,1.648,0.037,17964,1
-6.582,49.16,201,400,13155,20063,939.613,0.78,0.81,5.36,0.836,0.019,6628,1
20.767,47.88,1174,404,12916,19423,938.695,1.82,1.89,12.5,1.95,0.044,18919,1
-18.058,54.26,1383,415,12976,19381,938.684,1.86,1.93,12.77,1.992,0.045,23758,1
26.99,47.66,1145,411,12912,19434,938.717,1.58,1.64,10.88,1.697,0.038,18202,1
20.011,46.86,1050,550,12839,19478,938.972,1.78,1.85,12.25,1.91,0.043,12510,1
14.05,49.56,5,400,12703,19744,939.801,0.06,0.09,0.39,0.092,0.02,367,0
16.59,52.29,34,400,13125,20014,939.605,0.75,0.78,5.19,0.809,0.018,1745,0
17.35,54.26,0,400,13127,20023,939.651,0.69,0.72,4.77,0.744,0.017,1535,0
6.542,18.28,0,400,13635,21327,936.803,1.2,1.25,8.27,1.29,0.029,4775,0
25.24,49.3,1187,490,12850,19433,938.91,1.8,1.87,12.4,1.934,0.044,14434,1
