Gender,Age,Region_Code,Occupation,Channel_Code,Vintage,Credit_Product,Avg_Account_Balance,Is_Lead,target
0,81,34,1,2,122,0,1362100,0,0
1,36,20,2,0,21,1,551684,0,0
1,47,33,3,2,26,1,1340785,1,1
1,58,16,3,3,8,1,287995,0,1
1,59,6,3,2,49,1,348986,0,0
1,62,18,1,2,109,0,952219,0,1
0,27,19,1,0,31,0,798828,0,0
1,42,30,3,1,50,0,239685,0,0
1,55,26,3,2,57,0,1669782,0,0
0,43,18,3,1,74,1,750964,0,1
0,54,28,3,2,43,1,638183,0,0
1,33,33,2,0,27,1,1107133,0,0
1,36,20,2,0,32,0,683439,0,0
1,60,23,1,1,93,1,1142688,1,1
1,28,33,1,0,25,1,908743,0,0
1,61,33,3,0,39,0,2115672,1,0
1,55,1,3,2,55,0,690257,0,0
0,45,30,3,2,26,0,478259,0,1
1,53,26,3,1,39,0,438147,0,0
1,32,32,2,0,27,0,1052540,0,1
0,61,33,1,1,26,0,1492966,1,0
1,42,11,3,1,26,0,1105664,0,0
1,31,22,2,0,15,0,583297,0,0
0,38,34,3,2,93,1,1193231,0,0
1,46,32,1,1,85,0,846523,0,1
1,39,23,3,1,13,1,274431,0,1
1,50,4,3,3,13,1,429567,0,0
0,34,18,2,1,75,1,1487465,1,0
1,57,10,3,1,97,1,777370,1,1
0,28,2,2,0,21,0,465559,0,0
1,48,33,3,1,32,1,1073704,0,0
1,28,4,1,0,19,0,1270110,0,0
0,42,28,3,1,33,1,1490634,1,0
0,42,13,3,2,123,0,922093,0,1
1,29,7,1,0,20,0,989884,0,0
0,28,20,1,0,27,0,774967,0,0
1,26,34,3,0,13,0,982034,0,0
1,47,18,3,2,91,1,792028,0,0
1,35,33,2,0,21,0,491680,0,0
1,59,34,3,2,109,1,624699,1,0
0,28,19,1,0,27,0,853812,0,0
1,48,33,1,2,69,1,8711460,0,0
1,30,30,1,0,15,0,458803,0,1
1,58,20,1,0,25,0,566849,0,1
1,29,33,1,0,33,0,3287740,0,0
0,26,30,2,0,21,0,1210907,0,0
1,65,18,1,2,127,1,2467329,0,1
1,48,19,3,1,26,0,3778281,0,0
0,44,33,3,1,55,0,778082,1,1
1,27,18,1,0,25,0,1437777,0,0
1,41,34,3,1,32,1,654808,1,0
1,27,30,1,0,20,0,319332,0,1
0,53,20,1,1,57,0,467525,1,0
0,29,33,2,0,26,0,464980,0,0
1,27,24,2,0,21,1,469012,0,0
0,30,13,2,0,20,0,1168151,0,1
1,53,12,3,1,99,1,642117,0,0
1,36,34,2,0,21,1,264828,0,0
0,29,34,3,1,26,0,1617904,0,1
1,50,18,3,2,69,0,2472357,0,0
1,34,4,2,0,25,0,1096960,0,0
0,29,32,3,0,19,0,1029026,0,0
1,24,33,2,0,13,0,511144,0,0
0,47,4,1,0,25,1,775991,0,1
0,61,34,3,3,14,1,1339441,0,0
1,53,24,3,1,86,0,922493,0,1
1,67,18,1,0,61,1,669983,0,1
1,45,1,3,1,63,0,1252247,0,0
0,53,33,3,2,62,0,1826004,0,0
0,75,1,1,2,115,0,503473,0,0
0,49,4,3,1,68,0,1370938,0,0
1,54,23,3,1,85,0,943951,0,1
1,57,27,2,2,86,1,1437848,1,0
1,79,18,1,3,8,1,3549026,1,0
0,73,30,1,1,57,0,636091,0,0
1,52,33,3,0,75,0,876943,0,0
1,28,1,2,0,15,0,298239,0,1
1,64,18,1,2,110,0,976881,0,0
0,61,18,3,2,79,1,2036604,0,0
0,42,30,3,2,13,0,1887725,0,1
0,30,7,2,0,25,0,771959,0,0
0,29,4,2,0,27,0,1335160,0,0
1,29,30,2,0,14,0,2259683,0,0
0,28,19,3,0,25,1,737017,0,0
0,45,33,1,2,62,0,2049038,0,0
0,27,23,2,0,26,0,901445,0,1
1,28,18,2,0,33,0,663503,0,0
0,28,32,2,0,32,0,1016744,0,0
1,27,7,2,0,20,0,491084,0,0
0,29,19,1,0,15,0,785300,0,0
0,42,18,1,1,33,0,507842,0,1
0,29,7,3,0,27,0,330999,0,0
1,31,2,2,0,19,0,388137,0,0
1,31,1,2,0,33,0,196930,0,0
1,54,30,3,1,111,0,1454491,0,1
1,60,14,3,2,104,0,1080121,0,0
1,30,27,2,0,15,0,1122031,0,0
0,45,33,3,1,79,0,1857002,0,0
0,74,4,1,2,73,0,471406,0,1
1,47,1,3,1,49,0,706802,1,0
0,28,21,1,0,25,1,493531,0,0
0,28,0,2,0,19,1,877593,0,0
0,50,30,3,1,20,1,959598,0,1
0,30,32,1,0,19,0,620347,0,0
1,53,32,3,1,69,1,942679,0,1
0,60,18,3,2,122,0,1901244,0,1
0,55,18,3,1,39,0,1375708,0,1
1,28,19,2,0,31,0,639126,0,1
0,29,7,2,0,31,0,405822,0,0
1,59,33,3,1,50,0,2212575,0,0
1,29,7,2,0,32,0,354718,0,0
0,25,24,2,0,21,1,1140134,1,0
1,60,4,3,1,115,1,1294923,0,1
1,34,18,3,2,69,1,296263,1,1
0,28,31,2,0,27,0,1833284,1,0
0,49,11,3,1,73,1,604639,0,0
1,61,18,3,1,50,1,1530800,0,0
0,27,34,2,0,13,0,691369,0,1
0,29,25,2,0,20,0,1010434,0,0
1,26,27,2,0,14,0,1150155,0,0
0,57,1,1,2,13,1,487702,0,0
1,41,33,3,1,61,0,1263141,0,1
0,25,19,2,0,20,0,641378,0,0
0,27,4,1,0,14,0,819476,0,0
1,27,24,2,2,26,0,558893,0,0
1,45,3,3,1,86,1,800635,0,0
1,52,18,3,1,75,0,1640537,0,1
1,49,18,3,0,49,1,3115453,0,0
0,44,4,3,1,63,1,507219,0,0
0,49,3,1,2,99,0,1712119,0,1
0,56,33,3,2,98,1,1163799,0,1
0,27,18,2,0,15,0,1153885,1,1
0,28,14,3,0,21,1,583439,1,0
