Compound,A,B,In literature,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,μ,target
0,0,0,False,1,1,1.12,1.12,1.12,1.1,1.1,0.0,0.0,-3.248,0.707106781,0.8,1
1,0,1,False,1,1,1.12,1.12,0.95,1.1,1.93,0.0,2.488353231,-2.565071429,0.758259187,0.678571429,2
2,0,2,False,1,1,1.12,1.12,0.54,1.1,1.61,0.0,1.892894405,-1.846714286,0.918509839,0.385714286,1
3,0,3,False,1,1,1.12,1.12,0.52,1.1,2.18,0.0,1.932227032,-1.577428571,0.92807765,0.371428571,2
4,0,4,False,1,1,1.12,1.12,0.93,1.1,2.54,0.0,2.31369847,-2.279785714,0.764767849,0.664285714,2
5,0,5,False,1,1,1.12,1.12,0.27,1.1,2.04,0.0,1.624661665,-1.117357143,1.06701143,0.192857143,1
6,0,6,False,1,1,1.12,1.12,1.35,1.1,0.89,0.0,2.64009357,-3.806785714,0.647966941,0.964285714,2
7,0,7,False,1,1,1.12,1.12,0.45,1.1,1.57,0.0,1.803349248,-1.676928571,0.963194102,0.321428571,1
8,0,8,False,1,1,1.12,1.12,0.9,1.1,2.02,0.0,2.215655462,-2.425857143,0.774743082,0.642857143,2
9,0,9,False,1,1,1.12,1.12,1.0,1.1,1.0,0.0,2.318139449,-3.040285714,0.74246212,0.714285714,2
10,0,10,False,1,1,1.12,1.12,0.95,1.1,1.69,0.0,2.286435201,-2.661071429,0.758259187,0.678571429,2
11,0,11,False,1,1,1.12,1.12,0.94,1.1,1.12,0.0,2.268642439,-2.868428571,0.761499611,0.671428571,1
12,0,12,False,1,1,1.12,1.12,0.63,1.1,1.88,0.0,1.930310969,-1.9245,0.877787728,0.45,3
13,0,13,False,1,1,1.12,1.12,0.58,1.1,1.66,0.0,1.960053288,-1.909285714,0.899954085,0.414285714,2
14,0,14,False,1,1,1.12,1.12,1.67,1.1,0.79,0.0,3.009747218,-4.507357143,0.580426413,1.192857143,4
15,0,15,False,1,1,1.12,1.12,0.68,1.1,1.9,0.0,2.005573846,-2.019714286,0.856687062,0.485714286,2
16,0,16,False,1,1,1.12,1.12,0.99,1.1,1.22,0.0,2.255580699,-2.931642857,0.745568656,0.707142857,2
17,0,17,False,1,1,1.12,1.12,0.89,1.1,1.24,0.0,2.250676638,-2.717214286,0.77812624,0.635714286,2
18,0,18,False,1,1,1.12,1.12,1.06,1.1,1.2,0.0,2.354367494,-3.084142857,0.724353288,0.757142857,2
19,0,19,False,1,1,1.12,1.12,0.67,1.1,1.83,0.0,1.999521816,-2.027071429,0.860825647,0.478571429,2
20,0,20,False,1,1,1.12,1.12,0.62,1.1,1.81,0.0,1.974643898,-1.931857143,0.882133212,0.442857143,2
21,0,21,False,1,1,1.12,1.12,0.94,1.1,1.2,0.0,2.28415608,-2.836428571,0.761499611,0.671428571,2
