Age,Workclass,fnlwgt,Education,Education_Num,Martial_Status,Occupation,Relationship,Race,Sex,Capital_Gain,Capital_Loss,Hours_per_week,Country,target
28,4,240172,12,14,4,9,3,4,1,0,0,40,38,0
24,2,403671,15,10,4,6,1,4,1,0,0,40,38,0
33,1,173005,9,13,2,0,0,4,1,0,1848,45,38,1
24,2,233777,15,10,4,11,4,4,1,0,0,50,25,0
31,2,106437,14,15,2,9,5,4,0,0,0,60,38,1
31,2,51259,9,13,4,9,1,4,1,0,0,47,38,0
24,4,204209,15,10,4,4,3,4,1,0,0,60,38,0
44,2,266135,9,13,2,9,0,4,1,0,0,50,38,1
18,2,51255,1,7,4,5,3,4,1,0,0,15,38,0
41,0,133060,7,12,2,9,0,4,1,0,0,40,38,1
22,2,310152,15,10,4,13,1,4,1,0,0,40,38,0
48,4,200825,15,10,2,3,0,4,1,0,0,30,38,1
34,4,24961,11,9,2,4,0,4,1,0,0,80,38,0
51,4,103257,14,15,2,9,0,4,1,0,0,40,38,0
37,2,372525,12,14,0,9,4,4,1,0,0,48,38,0
37,4,126738,11,9,2,4,0,4,1,0,0,72,38,0
40,2,220589,15,10,2,11,5,4,0,0,0,40,38,1
28,2,82488,11,9,0,12,3,1,0,0,0,40,38,0
35,0,105138,14,15,2,9,0,4,1,0,0,55,38,0
61,2,80896,12,14,2,9,0,1,1,0,0,45,18,1
38,2,204556,11,9,0,2,1,2,1,0,0,40,38,0
31,5,255830,7,12,4,0,3,2,0,0,0,45,38,0
36,2,41624,0,6,2,2,0,4,1,0,0,70,25,0
57,3,140319,11,9,2,0,0,4,1,0,0,50,38,0
45,2,25649,15,10,2,13,0,4,1,7298,0,50,38,1
21,2,132243,7,12,4,7,3,4,0,0,0,5,38,0
25,2,120238,11,9,2,11,0,4,1,0,0,40,38,0
47,2,133969,9,13,2,3,0,1,1,2885,0,65,23,0
54,2,53407,11,9,2,2,0,4,1,0,0,40,38,0
47,2,193285,11,9,2,7,5,2,0,5013,0,40,38,0
38,2,33397,11,9,0,11,4,4,0,0,0,40,38,0
37,2,154210,15,10,2,2,0,1,1,0,0,40,16,0
45,2,362883,15,10,2,13,0,4,1,0,0,40,38,0
38,2,219137,11,9,2,0,5,4,0,0,0,22,38,0
32,2,288273,9,13,2,2,0,4,1,0,0,70,25,0
61,2,195453,11,9,2,3,0,4,1,0,0,50,38,1
55,2,49737,15,10,2,11,0,4,1,0,0,50,38,0
33,4,123424,9,13,2,3,0,4,1,0,0,40,38,1
22,2,427686,0,6,0,2,3,4,1,0,0,40,38,0
44,3,398473,15,10,2,11,0,4,1,0,0,70,38,1
31,2,53042,15,10,2,6,0,2,1,0,0,40,37,0
70,3,225780,15,10,2,3,0,4,1,0,0,20,38,1
35,2,52738,15,10,2,6,0,4,1,0,0,46,38,0
19,2,184759,11,9,4,0,1,4,0,0,0,26,38,0
38,2,176101,9,13,2,3,0,4,1,0,0,40,38,0
22,2,194031,15,10,4,7,3,4,0,0,0,15,38,0
46,2,102597,9,13,0,9,4,4,0,0,0,40,38,0
45,2,199058,12,14,2,3,0,4,1,7298,0,50,38,1
27,2,128730,8,11,4,3,1,4,1,10520,0,65,11,1
31,2,159737,11,9,4,11,4,2,0,0,0,58,38,0
52,2,204447,11,9,2,6,0,4,1,4386,0,40,38,1
54,2,231482,9,13,2,3,0,4,1,0,0,40,38,0
40,2,180032,12,14,4,9,1,4,0,0,1669,40,38,0
46,2,98350,0,6,3,7,1,1,1,0,0,37,2,0
24,4,34918,8,11,4,7,4,4,0,0,0,38,38,0
57,1,44273,11,9,6,13,1,4,0,0,0,40,38,0
44,2,163215,2,8,0,6,4,4,0,0,0,40,38,0
56,2,199763,15,10,2,2,0,4,1,0,0,45,38,0
25,2,213412,9,13,4,12,4,4,1,0,0,40,38,0
30,1,108386,8,11,2,10,0,4,1,0,0,40,38,0
34,4,198664,9,13,2,2,0,1,1,15024,0,70,34,1
21,2,124589,11,9,4,11,3,4,0,0,0,40,38,0
35,2,81280,9,13,2,4,0,4,1,0,0,65,40,1
52,2,183611,3,2,2,4,0,4,1,0,0,40,38,0
48,2,118717,9,13,0,9,1,2,0,0,0,40,38,0
35,2,356238,7,12,4,7,1,4,0,0,0,80,38,1
51,2,201127,11,9,0,11,1,4,1,0,0,45,38,0
39,2,176186,15,10,2,4,0,4,1,0,0,50,38,1
57,2,61761,15,10,2,2,0,4,1,0,1672,45,38,0
33,2,183612,11,9,2,6,0,4,1,0,0,40,38,1
64,2,153894,9,13,4,11,4,4,0,0,0,40,28,0
42,4,119207,11,9,4,3,1,4,1,0,0,48,38,0
44,2,175943,9,13,2,9,5,4,0,0,0,20,38,0
71,1,365996,9,13,6,9,4,4,0,0,0,6,38,0
50,2,187830,9,13,4,3,1,4,1,0,0,50,38,1
34,4,179673,14,15,2,9,0,4,1,7688,0,60,38,1
38,1,147258,11,9,4,13,1,4,1,0,0,40,38,0
