Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,target
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,2,2,4,3,3,2,False,False
2,53.0,0,0.0,23,1668.285119,0.008333333,0.016312636,0.0,0.0,2,1,1,9,3,2,False,False
0,0.0,0,0.0,10,183.6666667,0.04,0.08,0.0,0.0,2,1,1,3,1,2,False,False
0,0.0,0,0.0,14,222.4,0.017142857,0.057142857,0.0,0.0,2,1,1,1,2,2,False,False
0,0.0,0,0.0,3,80.0,0.066666667,0.133333333,0.0,0.2,2,3,2,1,3,2,False,False
0,0.0,0,0.0,2,29.0,0.0,0.1,0.0,1.0,2,2,4,4,2,2,True,False
0,0.0,0,0.0,4,160.0,0.0,0.075,0.0,0.0,2,4,2,2,3,2,False,False
0,0.0,0,0.0,20,197.3777778,0.025,0.0525,0.0,0.0,2,2,6,6,1,2,False,False
0,0.0,0,0.0,7,150.0,0.057142857,0.085714286,0.0,0.0,2,2,2,2,1,2,False,False
0,0.0,0,0.0,7,337.5,0.028571429,0.023809524,0.0,0.4,2,4,1,3,3,2,False,False
0,0.0,0,0.0,27,925.3333333,0.003703704,0.025925926,0.0,0.6,2,4,1,3,3,2,False,False
0,0.0,0,0.0,2,33.0,0.0,0.1,0.0,0.2,2,1,1,1,3,2,False,False
0,0.0,0,0.0,6,415.0,0.0,0.033333333,0.0,0.4,2,1,1,3,2,2,False,False
0,0.0,1,0.0,9,215.0,0.044444444,0.074074074,0.0,0.8,2,4,1,1,3,2,False,False
0,0.0,1,93.0,30,1045.833333,0.012903226,0.035483871,0.0,0.2,2,1,1,1,3,2,False,False
0,0.0,0,0.0,8,95.0,0.0,0.075,0.0,0.0,2,4,1,3,3,2,False,False
0,0.0,0,0.0,9,1238.333333,0.0,0.040740741,0.0,0.4,2,2,2,1,3,2,False,False
0,0.0,0,0.0,3,13.0,0.133333333,0.166666667,0.0,0.0,2,2,4,1,1,2,False,False
0,0.0,0,0.0,2,222.0,0.0,0.1,0.0,0.0,2,2,6,1,2,2,True,False
0,0.0,0,0.0,3,25.0,0.0,0.066666667,0.0,0.0,2,2,4,1,5,2,False,False
0,0.0,0,0.0,9,272.5,0.0,0.011851852,0.0,0.2,2,1,1,6,3,2,False,False
0,0.0,0,0.0,3,780.0,0.066666667,0.066666667,0.0,0.4,2,2,4,1,3,2,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,2,2,2,3,4,2,False,False
0,0.0,0,0.0,6,117.5,0.0,0.033333333,0.0,0.8,2,1,1,1,3,2,True,False
2,58.0,2,22.0,31,829.1666667,0.03030303,0.040606061,0.0,0.0,2,1,1,1,1,2,True,False
0,0.0,0,0.0,5,63.0,0.0,0.04,0.0,0.0,2,2,2,1,3,2,False,False
0,0.0,0,0.0,7,666.0,0.0,0.014285714,0.0,0.0,2,1,1,6,2,2,False,False
3,47.0,1,51.0,68,3008.124108,0.007142857,0.016727891,46.53017511,0.0,5,2,2,1,1,2,False,False
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,5,1,1,1,3,2,False,False
3,52.0,0,0.0,9,319.0,0.0,0.02,0.0,0.0,5,1,1,1,1,2,False,False
0,0.0,0,0.0,3,42.0,0.0,0.066666667,0.0,0.0,5,2,2,3,1,2,False,False
5,218.0,0,0.0,13,284.5,0.0,0.004166667,0.0,0.0,5,1,1,1,2,0,False,False
0,0.0,0,0.0,3,133.5,0.0,0.088888889,0.0,0.0,5,1,2,1,8,2,False,False
2,40.0,0,0.0,5,558.5,0.0,0.028571429,0.0,0.0,5,2,2,7,2,0,True,False
0,0.0,0,0.0,8,731.0,0.0,0.04375,0.0,0.0,5,2,4,1,3,2,False,False
4,57.0,0,0.0,7,591.0,0.006666667,0.033333333,0.0,0.0,5,1,2,6,6,2,True,False
0,0.0,0,0.0,2,19.0,0.0,0.1,0.0,0.0,5,2,2,3,11,2,True,False
0,0.0,0,0.0,16,2337.0,0.0,0.013333333,17.76266667,0.0,5,2,2,1,1,2,False,True
0,0.0,1,1220.0,28,2389.333333,0.016666667,0.030833333,0.0,0.0,5,2,2,1,3,2,True,False
1,21.33333333,1,235.0,71,2753.378571,0.012676056,0.015201207,0.0,0.0,5,3,2,2,1,2,True,False
0,0.0,1,0.0,7,188.0,0.0,0.033333333,0.0,0.0,5,2,2,1,8,0,False,False
0,0.0,0,0.0,11,300.0714286,0.0,0.02,53.9892,0.0,5,2,2,1,11,2,True,True
2,8.0,1,14.33333333,14,603.6666667,0.0,0.0125,44.67925,0.0,5,2,2,1,7,2,False,True
0,0.0,0,0.0,33,778.8166667,0.0,0.022424242,0.0,0.0,5,2,5,1,1,2,False,False
0,0.0,0,0.0,15,872.8333333,0.0,0.026666667,0.0,0.0,5,2,2,2,3,2,True,False
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,5,3,2,3,1,2,False,False
0,0.0,0,0.0,35,835.0666667,0.012571429,0.044761905,0.0,0.0,5,2,2,6,1,2,False,False
0,0.0,0,0.0,2,7.0,0.0,0.1,0.0,0.0,5,2,2,1,1,2,False,False
7,186.9761905,2,40.0,35,1276.157071,0.0,0.008681765,0.0,0.0,5,1,1,6,2,2,False,False
0,0.0,0,0.0,10,240.75,0.0,0.02,0.0,0.0,5,2,2,9,2,2,False,False
0,0.0,0,0.0,4,52.0,0.0,0.025,0.0,0.0,5,2,2,1,2,2,False,False
0,0.0,0,0.0,8,326.5,0.1,0.125,0.0,0.0,5,1,1,1,3,2,False,False
