Unnamed: 0,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,target
8903,28,1,1,0,0,0,0,1,4,2,1,999,0,1,1.4,94.465,-41.8,4.8660000000000005,5228.1,0
26100,32,1,1,1,0,0,2,0,7,4,2,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,0
30774,37,4,1,6,0,0,2,0,6,3,1,999,0,1,-1.8,92.893,-46.2,1.344,5099.1,0
34177,46,3,2,2,1,0,0,0,6,4,2,999,1,0,-1.8,92.893,-46.2,1.281,5099.1,0
10614,27,2,2,6,0,0,0,1,4,3,3,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
33396,31,9,2,5,0,0,0,0,6,3,2,999,0,1,-1.8,92.893,-46.2,1.291,5099.1,0
4717,33,4,1,3,1,2,0,1,6,4,1,999,0,1,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
28306,25,0,2,5,0,2,0,0,0,4,1,999,0,1,-1.8,93.075,-47.1,1.445,5099.1,0
20477,31,6,1,6,0,0,0,0,1,3,2,999,0,1,1.4,93.444,-36.1,4.966,5228.1,0
34508,41,1,1,0,0,2,2,0,6,2,2,999,0,1,-1.8,92.893,-46.2,1.266,5099.1,0
36530,21,0,2,3,0,2,0,0,4,4,1,999,0,1,-2.9,92.963,-40.8,1.26,5076.2,0
19032,48,1,1,2,0,2,0,0,1,3,3,999,0,1,1.4,93.444,-36.1,4.968,5228.1,0
31983,36,1,1,7,0,0,0,0,6,2,2,999,0,1,-1.8,92.893,-46.2,1.327,5099.1,0
9716,34,4,2,3,0,2,0,1,4,1,2,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
27258,45,0,0,6,0,2,0,0,7,0,1,999,1,0,-0.1,93.2,-42.0,4.021,5195.8,0
17031,57,9,1,5,1,0,2,0,3,2,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
