age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,target
47,1,1,2,0,2,0,1,6,2,194,3,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
38,0,1,5,0,0,0,0,3,1,182,3,999,0,1,1.4,93.918,-42.7,4.96,5228.1,0
43,4,1,5,0,2,0,1,6,3,310,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
44,1,1,2,0,0,0,0,6,0,199,1,999,0,1,-1.8,92.893,-46.2,1.313,5099.1,0
32,9,1,6,0,2,2,1,3,2,50,6,999,0,1,1.4,93.918,-42.7,4.968,5228.1,0
29,9,2,2,0,2,0,0,0,1,114,2,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,1
46,6,1,0,1,0,0,1,6,2,35,24,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
39,0,1,5,0,2,2,1,6,4,72,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
32,4,1,3,0,0,0,1,4,3,206,1,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
29,9,2,6,0,2,0,1,3,2,109,1,999,0,1,1.4,93.918,-42.7,4.966,5228.1,0
34,1,2,2,0,0,0,1,6,2,1088,2,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
40,0,1,7,0,0,0,1,6,2,387,4,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
41,6,1,2,1,2,0,0,7,1,145,2,999,0,1,-0.1,93.2,-42.0,4.191,5195.8,0
36,0,2,6,0,0,0,1,6,3,168,5,999,1,0,-1.8,92.893,-46.2,1.291,5099.1,0
47,9,1,5,1,2,0,1,6,1,197,4,999,0,1,1.1,93.994,-36.4,4.858,5191.0,0
58,7,1,3,0,0,0,0,5,1,135,1,999,2,0,-1.8,93.369,-34.8,0.635,5008.7,0
26,9,2,5,0,2,0,0,6,2,176,1,999,0,1,-1.8,92.893,-46.2,1.327,5099.1,0
52,0,0,6,0,0,0,0,7,3,213,1,999,0,1,-3.4,92.649,-30.1,0.715,5017.5,1
29,6,2,6,0,0,0,1,4,1,221,10,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
59,1,1,0,1,2,2,1,4,1,69,6,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
35,1,0,2,1,0,0,1,6,3,521,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
45,1,1,2,1,0,0,1,6,2,90,3,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
29,0,1,6,0,2,0,0,1,0,63,4,999,0,1,1.4,93.444,-36.1,4.964,5228.1,0
36,7,1,3,0,0,0,0,6,2,227,2,999,0,1,-1.8,92.893,-46.2,1.327,5099.1,0
39,8,2,7,0,2,0,1,4,3,367,1,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
41,0,0,3,0,0,0,0,6,1,13,8,999,0,1,-1.8,92.893,-46.2,1.244,5099.1,0
37,0,1,6,0,0,0,1,4,4,867,1,999,0,1,1.4,94.465,-41.8,4.959,5228.1,1
37,0,2,6,0,2,0,1,6,2,900,2,999,0,1,1.1,93.994,-36.4,4.86,5191.0,1
53,1,1,7,0,0,0,0,1,1,115,1,999,0,1,1.4,93.444,-36.1,4.97,5228.1,0
37,0,1,6,0,0,0,1,6,4,209,2,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
41,4,1,3,0,0,0,1,6,2,77,1,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
36,9,1,5,0,2,0,1,6,2,247,1,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
35,9,1,5,0,2,0,0,0,4,251,1,999,0,1,-1.8,93.075,-47.1,1.415,5099.1,0
38,9,1,5,0,2,0,1,6,0,122,4,999,0,1,1.1,93.994,-36.4,4.864,5191.0,0
30,9,2,6,0,0,0,0,3,3,402,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
