Year,Player,Age,School,Height,Weight,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,Drafted..tm.rnd.yr.,BMI,Player_Type,Position_Type,Position,target
2009,1144,22.0,56,1.8796,118.3876086,4.84,83.82,27.0,292.1,7.38,4.45,35,33.5100731,0,2,2,0
2009,913,23.0,2,1.8034,92.07925111,4.49,93.98,15.0,304.8,7.09,4.23,19,28.31246274,0,1,5,0
2009,233,22.0,31,1.8796,110.6765383,4.76,92.71,26.0,304.8,7.1,4.4,11,31.32742466,0,3,8,0
2009,443,21.0,104,2.032,140.1600423,5.32,55.88,19.0,238.76,7.87,4.88,63,33.94507814,1,4,9,0
2009,734,23.0,125,1.8796,120.6555704,4.53,88.9,28.0,304.8,7.46,4.43,56,34.15202852,0,2,2,0
2009,216,22.0,132,1.778,82.10021897,4.44,87.63,14.0,279.4,6.93,4.16,51,25.97052937,0,1,1,0
2009,1153,23.0,89,1.8288,100.2439138,4.49,93.98,16.0,312.42,6.81,4.26,47,29.97268077,0,1,13,0
2009,817,22.0,87,1.9304,140.1600423,5.16,77.47,21.0,261.62,7.81,4.6,72,37.61227495,1,4,9,0
2009,329,23.0,34,1.9304,116.1196467,4.78,74.93,17.0,287.02,7.28,4.56,103,31.1609786,1,0,14,0
2009,725,23.0,103,1.778,81.19303423,4.35,92.71,15.0,307.34,6.77,4.1,85,25.6835622,0,1,1,0
2009,886,23.0,164,1.9304,119.2947933,4.79,82.55,24.0,274.32,7.52,4.47,76,32.01303661,0,2,2,0
2009,184,22.0,169,1.7526,97.97595192,4.34,101.6,27.0,297.18,6.99,4.29,110,31.89729662,1,0,11,0
2009,8,20.0,118,1.9304,112.9445001,4.64,96.52,22.0,314.96,7.52,4.38,120,30.30892059,0,2,2,0
2009,1000,23.0,140,1.9558,108.8621688,4.52,83.82,19.0,292.1,6.96,4.46,143,28.45955458,1,0,14,0
2009,421,22.0,75,1.9304,140.6136347,5.19,77.47,30.0,251.46,7.56,4.51,122,37.73399752,1,4,0,0
2009,859,22.0,114,1.8796,106.1406146,4.83,80.01,15.0,276.86,7.05,4.37,147,30.04351381,0,3,8,0
2009,430,21.0,40,1.8542,116.1196467,4.65,80.01,26.0,289.56,7.55,4.53,166,33.77478183,0,2,2,0
2009,1075,22.0,143,1.8288,111.1301307,4.58,86.36,30.0,284.48,7.31,4.49,179,33.22763253,1,0,4,0
2009,824,21.0,151,1.8288,94.34721296,4.43,100.33,14.0,299.72,6.89,4.22,178,28.2095819,1,0,11,0
2009,249,23.0,44,1.905,136.5313034,4.96,62.23,24.0,246.38,7.44,4.73,175,37.6220344,0,2,3,0
2009,173,20.0,135,1.7272,82.55381134,4.41,95.25,19.0,307.34,7.15,4.2,189,27.67272134,0,1,1,0
2009,1007,24.0,158,1.8542,89.81128926,4.43,91.44,12.0,312.42,6.6,3.98,167,26.12268282,0,1,1,0
2009,541,22.0,132,1.9558,130.6346026,4.81,90.17,28.0,302.26,7.7,4.56,198,34.1514655,0,2,2,0
2009,268,21.0,167,1.7526,87.08973504,4.56,100.33,17.0,299.72,7.01,4.28,207,28.35315255,0,1,1,0
2009,602,22.0,7,1.9304,136.5313034,5.14,78.74,26.0,251.46,7.69,4.79,235,36.63849437,1,4,0,0
2009,110,25.0,0,1.778,90.718474,4.44,91.44,21.0,317.5,6.82,4.08,256,28.69671754,1,0,11,0
2009,815,22.0,47,2.0066,120.6555704,4.61,97.79,28.0,325.12,7.42,4.37,227,29.96579205,0,2,2,0
2009,846,23.0,83,1.8542,87.54332741,4.5,96.52,23.0,322.58,7.05,4.01,251,25.46301912,0,1,1,0
2009,327,23.0,51,1.8796,116.5732391,4.75,83.82,35.0,279.4,7.2,4.46,271,32.99650876,0,2,2,0
2009,519,23.0,26,1.8034,98.88313666,4.45,81.28,17.0,276.86,7.15,4.37,292,30.40451664,1,0,11,0
2009,253,22.0,132,1.8288,83.91458845,4.63,91.44,24.0,312.42,6.81,4.24,291,25.09025313,0,1,1,0
2009,931,22.0,12,1.9304,147.4175203,5.29,77.47,23.0,248.92,7.68,4.75,308,39.55983611,1,4,9,0
2009,333,22.0,24,1.8034,87.99691978,4.5,80.01,17.0,276.86,7.27,4.35,321,27.0572304,0,1,1,0
2009,590,21.0,169,1.9558,113.8516849,4.78,85.09,20.0,284.48,6.84,4.27,334,29.76395083,1,0,14,0
2009,1022,21.0,144,1.8288,106.1406146,4.59,88.9,22.0,292.1,7.21,4.34,333,31.73577964,0,3,8,0
2009,1125,21.0,117,1.8796,112.4909078,4.72,83.82,24.0,287.02,7.21,4.4,313,31.840989,0,3,8,0
2009,814,23.0,26,1.8796,97.06876718,4.57,95.25,17.0,297.18,7.14,4.42,326,27.47569212,0,1,13,0
2009,702,21.0,44,1.8034,98.42954429,4.5,90.17,25.0,292.1,6.84,4.27,340,30.26504638,1,0,11,0
2009,918,22.0,104,1.9304,119.7483857,4.88,82.55,24.0,302.26,7.5,4.62,354,32.13475918,1,0,14,0
2009,301,23.0,153,1.8288,89.81128926,4.53,96.52,14.0,302.26,6.8,4.16,351,26.853352,0,1,5,0
2009,38,23.0,172,1.7526,87.54332741,4.47,86.36,13.0,317.5,7.09,4.38,347,28.50082522,0,1,1,0
2009,993,23.0,59,1.9558,138.7992652,5.23,62.23,23.0,228.6,7.59,4.7,364,36.28593209,1,4,7,0
2009,929,23.0,147,1.905,123.3771246,4.77,74.93,18.0,259.08,7.56,4.51,341,33.99732012,0,2,2,0
2009,317,21.0,111,1.8796,99.33672903,4.4,105.41,19.0,335.28,6.6,4.28,362,28.11764754,0,1,5,0
2009,289,24.0,78,1.9558,115.6660544,4.79,83.82,26.0,309.88,6.92,4.26,420,30.23827674,1,0,14,0
2009,752,21.0,179,1.8034,91.62565874,4.52,93.98,12.0,320.04,6.67,4.17,388,28.17299248,0,1,5,0
2009,136,24.0,115,1.9558,119.2947933,4.8,83.82,22.0,299.72,7.12,4.37,381,31.18692856,1,0,14,0
2009,756,23.0,97,2.0066,138.7992652,4.82,88.9,25.0,279.4,7.06,4.34,418,34.47192619,1,4,9,0
2009,540,22.0,44,1.905,124.7379018,4.94,80.01,19.0,271.78,7.4,4.58,463,34.37229056,0,2,2,0
2009,139,22.0,24,1.8542,89.81128926,4.48,92.71,16.0,317.5,7.0,4.2,465,26.12268282,0,1,5,0
2009,97,22.0,16,1.8542,152.8606287,5.12,81.28,33.0,261.62,7.9,4.69,430,44.4613339,0,2,3,0
2009,533,22.0,135,1.9558,137.8920805,4.99,71.12,31.0,266.7,8.01,4.82,456,36.04876914,1,4,9,0
2009,228,22.0,163,1.905,108.8621688,4.58,90.17,23.0,307.34,6.9,4.18,425,29.9976354,0,3,8,0
2009,147,22.0,163,1.905,110.2229459,4.64,88.9,30.0,304.8,6.84,4.22,474,30.37260584,0,3,8,0
2009,67,24.0,106,1.9558,118.8412009,4.84,77.47,21.0,271.78,7.31,4.56,500,31.06834709,1,0,14,0
2009,456,23.0,100,1.8034,92.53284348,4.5,96.52,22.0,302.26,7.39,4.43,497,28.451933,0,1,5,0
2009,73,22.0,2,1.905,140.1600423,5.24,71.12,23.0,281.94,7.96,5.04,492,38.62195558,1,4,0,0
2009,1104,22.0,5,1.8288,93.44002822,4.58,80.01,12.0,297.18,7.06,4.3,512,27.93833592,0,1,5,0
2009,239,22.0,24,1.9304,116.1196467,4.47,102.87,21.0,325.12,6.87,4.18,482,31.1609786,0,3,8,0
2009,518,24.0,124,1.905,111.583723,4.69,91.44,28.0,281.94,7.0,4.48,503,30.74757628,1,0,4,0
2009,85,23.0,11,1.8542,90.718474,4.53,86.36,17.0,304.8,6.78,4.24,535,26.38654831,1,0,15,0
2009,566,21.0,10,1.7526,85.27536556,4.43,92.71,15.0,309.88,7.09,4.08,530,27.76246187,0,1,1,0
2009,424,21.0,169,1.9558,140.1600423,5.18,72.39,23.0,279.4,7.86,4.78,552,36.64167652,1,4,9,0
2009,538,23.0,124,1.778,86.63614267,4.5,107.95,13.0,327.66,7.1,4.41,565,27.40536525,1,0,15,0
2009,1070,22.0,126,1.8542,83.46099608,4.31,105.41,7.0,327.66,6.62,4.11,570,24.27562444,1,0,15,0
2009,403,21.0,4,1.9812,140.1600423,5.14,72.39,24.0,254.0,7.87,4.91,555,35.70816899,1,4,9,0
2009,912,23.0,70,1.8542,104.7798375,4.52,86.36,29.0,304.8,6.86,4.2,569,30.4764633,1,0,11,0
2009,378,22.0,113,1.8288,89.35769689,4.5,114.3,9.0,342.9,6.84,4.2,592,26.71772901,0,1,1,0
2009,30,21.0,123,1.905,135.1705263,4.82,74.93,30.0,261.62,7.52,4.55,582,37.24706395,0,2,3,0
2009,727,23.0,108,1.8796,115.6660544,4.74,91.44,24.0,271.78,7.26,4.38,947,32.73972659,0,3,8,0
2009,132,22.0,117,1.778,82.55381134,4.4,92.71,8.0,325.12,6.9,4.23,958,26.11401296,0,1,1,0
2009,545,22.0,13,1.9558,140.1600423,5.09,60.96,33.0,243.84,7.53,4.69,1046,36.64167652,1,4,9,0
2009,302,22.0,26,1.905,141.5208194,4.92,77.47,29.0,271.78,8.28,4.84,1061,38.99692602,0,2,3,0
2009,215,22.0,150,1.8288,99.7903214,4.57,88.9,19.0,281.94,6.85,4.29,1067,29.83705778,1,0,11,0
2009,521,22.0,113,1.8796,110.6765383,4.72,83.82,22.0,292.1,6.93,4.24,1051,31.32742466,0,3,6,0
2009,124,22.0,59,1.8288,88.90410452,4.44,97.79,20.0,309.88,7.04,4.29,1057,26.58210602,0,1,1,0
2009,1134,20.0,56,1.8034,92.07925111,4.4,91.44,25.0,317.5,6.75,4.07,622,28.31246274,0,1,1,0
2009,985,21.0,164,1.905,97.06876718,4.47,86.36,10.0,302.26,6.92,4.15,629,26.74789156,0,1,1,0
2009,202,23.0,26,1.8288,94.34721296,4.33,95.25,19.0,322.58,7.27,4.38,648,28.2095819,0,1,5,0
2009,513,23.0,87,1.778,97.06876718,4.43,85.09,29.0,294.64,7.02,4.2,704,30.70548776,0,1,13,0
2009,548,23.0,135,1.8796,114.3052772,4.67,90.17,26.0,289.56,7.03,4.32,684,32.35455334,0,3,6,0
2009,82,21.0,44,1.7526,87.99691978,4.48,88.9,22.0,292.1,6.93,4.3,672,28.64849789,0,1,1,0
2009,888,23.0,114,2.032,150.5926668,5.45,73.66,24.0,241.3,8.18,5.06,666,36.47173444,1,4,9,0
2009,943,22.0,16,1.905,149.6854821,5.48,71.12,32.0,251.46,8.15,4.73,712,41.24674867,0,2,3,0
2009,760,21.0,113,1.8288,92.53284348,4.51,83.82,15.0,314.96,6.59,4.08,741,27.66708994,0,1,1,0
2009,1016,22.0,172,1.8288,105.2334298,4.56,80.01,19.0,307.34,7.22,4.39,755,31.46453366,0,3,6,0
2009,199,23.0,172,1.8542,100.2439138,4.42,93.98,21.0,317.5,7.03,4.12,754,29.15713588,0,1,13,0
2009,332,22.0,100,1.8034,89.81128926,4.52,87.63,17.0,309.88,7.0,4.44,796,27.61511144,0,1,1,0
2009,1140,24.0,31,1.9812,139.2528576,5.06,85.09,27.0,271.78,7.62,4.77,774,35.47704815,1,4,9,0
2009,46,22.0,106,1.8288,101.6046909,4.37,93.98,24.0,292.1,7.35,4.33,784,30.37954974,1,0,11,0
2009,1010,23.0,59,1.778,102.965468,4.55,93.98,19.0,307.34,7.1,4.4,808,32.5707744,1,0,11,0
