Gender,customer_type,age,type_of_travel,customer_class,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,onboard_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,target
1,0,17,1,2,630,3,4,3,4,5,3,5,5,3,2,4,3,5,5,0,0.0,0
0,0,52,0,0,696,2,2,2,2,3,5,5,4,4,4,4,4,4,5,56,47.0,1
0,1,20,0,1,416,2,3,2,4,5,2,5,5,3,3,4,1,4,5,0,0.0,0
0,0,29,1,1,643,3,5,3,2,3,3,3,3,5,4,4,3,4,3,21,32.0,0
1,0,57,1,1,277,2,3,3,4,1,3,1,1,4,3,4,5,4,1,0,0.0,0
0,1,23,0,1,705,4,4,4,4,5,4,5,5,4,1,4,1,5,5,0,0.0,1
1,0,49,1,1,723,1,3,1,4,4,1,4,4,2,3,4,5,3,4,19,4.0,0
0,0,11,1,1,1192,4,5,4,4,2,4,2,2,5,4,4,4,4,2,5,0.0,0
0,0,8,1,1,583,1,5,1,1,2,1,3,2,4,2,4,3,5,2,0,0.0,0
0,1,17,0,1,130,0,0,0,3,5,0,5,5,4,5,4,4,5,5,0,0.0,1
1,0,27,0,0,2837,2,2,3,2,5,4,5,5,2,1,1,1,5,5,0,0.0,1
0,0,40,1,0,406,3,4,3,1,3,4,4,4,4,3,4,3,4,3,64,60.0,0
0,1,24,0,1,1182,4,5,5,4,2,5,2,2,3,3,5,3,5,2,0,0.0,0
0,0,32,0,0,2765,3,3,3,3,5,5,5,5,3,2,4,2,4,5,4,0.0,1
1,0,66,1,1,436,2,5,2,5,3,2,3,3,4,2,5,3,4,3,0,6.0,0
0,0,34,0,1,667,3,4,4,4,3,3,3,3,3,2,4,1,3,3,19,14.0,0
1,1,22,0,1,912,4,4,4,5,4,4,4,4,5,5,5,5,4,4,0,0.0,0
1,0,67,1,1,190,2,5,2,3,1,2,1,1,4,5,4,4,5,1,0,0.0,0
0,0,68,1,2,1107,1,0,0,4,3,4,4,5,5,0,5,4,5,3,0,0.0,0
