39, State-gov,77516, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,40, United-States,target
22,2,239954,15,10,4,0,2,4,1,0,0,40,38,0
21,2,265148,11,9,4,5,2,4,1,0,0,38,22,0
19,4,206599,15,10,4,7,3,4,0,0,0,22,38,0
31,2,62374,11,9,2,9,0,4,1,0,0,50,38,0
61,2,179743,11,9,2,2,0,4,1,0,2051,20,38,0
27,2,279960,11,9,2,11,0,4,1,0,0,40,38,0
26,2,306225,9,13,4,3,1,1,0,0,0,40,30,0
59,2,366618,6,5,2,7,0,4,1,0,0,30,38,0
23,2,82998,15,10,4,11,1,4,1,0,0,30,38,0
20,2,214387,11,9,4,6,3,4,1,0,0,40,38,0
31,3,304212,15,10,4,3,3,4,1,0,0,45,38,0
45,1,167334,12,14,4,9,1,4,1,0,0,50,38,1
26,2,195994,15,10,4,11,1,4,0,0,0,15,38,0
26,2,259585,15,10,4,11,1,4,1,0,0,24,38,0
60,4,88570,8,11,2,13,5,4,0,0,0,15,10,1
78,3,385242,9,13,2,3,0,4,1,9386,0,45,38,1
44,2,476391,15,10,0,4,1,4,0,0,0,40,38,0
35,2,410034,15,10,0,11,1,4,1,0,0,50,38,0
51,2,152810,11,9,2,9,0,4,1,0,0,40,38,1
26,1,103148,11,9,4,0,1,4,0,0,0,40,38,0
38,2,185556,15,10,2,2,0,4,1,0,0,40,21,0
25,2,233461,7,12,4,12,1,4,1,0,0,30,38,0
58,2,34788,15,10,2,11,0,4,1,0,1887,40,38,1
48,2,149210,11,9,5,2,4,2,1,0,0,45,38,0
46,2,79874,9,13,2,3,0,4,1,0,0,53,38,1
32,2,309513,7,12,2,2,0,4,1,0,0,40,38,0
61,2,176839,11,9,2,6,0,4,1,0,0,40,38,0
32,2,237478,1,7,0,6,4,4,0,0,0,40,38,0
19,2,93518,15,10,4,11,3,4,0,0,0,20,38,0
20,2,236769,15,10,4,5,3,4,1,0,0,40,38,0
24,2,203518,9,13,4,9,1,4,0,0,0,40,38,0
25,2,1484705,15,10,0,3,4,4,0,0,0,25,38,0
44,2,99651,12,14,2,3,0,4,1,5178,0,40,38,1
24,2,117767,7,12,4,11,3,4,1,0,0,20,38,0
44,2,98211,9,13,2,13,0,4,1,0,0,55,38,0
27,2,228472,9,13,2,2,0,4,1,0,0,45,38,1
21,5,99199,15,10,4,3,3,4,1,0,0,10,38,0
24,2,222005,11,9,4,7,2,4,1,0,0,30,38,0
34,2,114973,11,9,5,3,4,4,0,0,0,30,38,0
24,2,241185,11,9,4,11,1,4,0,0,0,48,38,0
17,2,317702,0,6,4,11,3,2,0,0,0,15,38,0
47,4,213668,14,15,2,9,0,4,1,0,1977,50,38,1
38,5,34180,15,10,2,3,0,4,1,0,0,40,38,0
56,2,143266,15,10,2,3,0,4,1,0,0,40,38,1
42,2,33155,11,9,2,6,0,4,1,0,0,45,38,0
33,2,183612,11,9,2,13,0,4,1,0,0,20,38,0
31,2,209101,14,15,2,9,0,4,1,0,0,25,38,1
31,2,25216,9,13,0,3,4,4,0,0,0,40,38,0
58,2,163113,11,9,6,11,1,4,0,0,0,35,38,1
34,1,104509,12,14,5,9,4,4,0,0,0,40,38,0
50,4,240922,7,12,4,11,1,4,0,0,1408,5,38,0
47,1,204377,15,10,4,7,3,4,0,0,0,20,38,0
46,0,110884,11,9,4,0,1,0,1,0,0,40,38,0
49,1,186539,12,14,2,10,0,4,1,0,0,40,38,1
56,2,265086,11,9,2,2,0,4,1,0,0,50,38,1
56,2,131608,15,10,2,11,0,4,1,0,0,40,38,1
46,5,30219,15,10,2,3,0,4,1,7688,0,38,38,1
