Unnamed: 0,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,target
0,38,9,1,2,0,127,1,0,0,14,10,113,1,50,2,2,0
1,41,3,1,0,0,365,0,0,0,8,1,203,5,-1,0,3,0
2,39,4,2,2,0,2454,1,0,0,4,8,716,3,263,2,0,1
3,49,1,1,0,0,6215,1,0,0,11,8,549,1,-1,0,3,0
4,37,7,1,1,0,1694,1,1,0,29,4,404,2,251,6,0,0
5,40,0,1,1,0,-666,1,0,2,27,8,107,2,-1,0,3,0
6,54,9,1,1,0,0,0,0,1,5,3,744,3,-1,0,3,1
7,48,1,1,1,0,1730,1,0,0,4,8,361,1,89,3,2,1
8,29,4,2,3,0,560,0,0,0,5,0,459,1,307,1,0,1
9,52,7,1,1,0,431,0,0,0,26,1,73,17,-1,0,3,0
10,44,10,0,2,0,0,0,0,0,5,3,1960,3,-1,0,3,1
11,30,9,2,1,0,86,0,0,2,20,1,45,1,-1,0,3,0
12,36,1,1,1,0,0,0,0,0,15,5,794,1,-1,0,3,0
13,26,7,2,1,0,1347,0,0,1,18,6,280,6,92,5,1,1
14,36,8,2,3,0,172,0,0,2,12,6,81,1,-1,0,3,0
15,56,2,0,0,0,29,0,0,0,29,4,52,2,227,1,0,0
16,46,1,0,0,0,916,1,0,0,11,8,472,2,-1,0,3,0
17,60,5,1,1,0,523,0,0,0,13,1,192,3,-1,0,3,1
18,45,4,1,1,0,5888,1,0,2,26,8,45,5,-1,0,3,0
19,50,9,1,1,0,156,0,1,0,14,5,1130,3,-1,0,3,1
20,54,5,0,0,0,52,0,0,2,19,6,184,3,-1,0,3,0
21,29,7,2,1,0,32,1,0,2,4,6,563,1,-1,0,3,1
22,58,5,1,1,0,235,0,0,0,27,1,88,4,-1,0,3,0
23,33,4,1,2,0,1778,0,0,0,12,3,388,1,-1,0,3,1
24,29,6,2,2,0,16,1,0,2,6,8,43,1,-1,0,3,0
25,49,7,1,1,0,280,1,0,1,14,5,162,3,-1,0,3,0
26,30,4,2,2,0,349,0,0,0,12,1,180,3,-1,0,3,0
27,33,9,2,1,0,163,1,0,0,20,1,627,2,-1,0,3,1
28,36,6,2,2,0,3560,0,0,2,2,6,409,2,-1,0,3,0
29,45,4,1,2,0,506,0,0,0,23,0,229,2,-1,0,3,1
30,56,5,1,0,0,9367,0,0,0,13,1,320,2,101,2,2,1
31,32,9,2,1,0,116,1,0,0,20,1,718,2,-1,0,3,1
32,33,9,1,1,0,0,1,1,0,19,9,163,2,-1,0,3,0
33,31,0,2,1,0,1129,1,0,0,18,8,145,3,-1,0,3,0
34,34,4,1,2,0,443,0,0,0,18,6,235,3,-1,0,3,1
35,55,9,1,2,0,11,0,0,0,21,1,588,2,-1,0,3,0
36,46,0,1,1,0,660,0,0,0,6,1,740,2,-1,0,3,1
37,46,9,1,1,0,940,0,0,0,5,1,1227,2,-1,0,3,1
38,24,8,2,2,0,3415,0,0,0,27,0,97,1,-1,0,3,1
39,47,9,0,2,0,8422,0,0,0,8,1,200,4,-1,0,3,0
40,33,1,1,0,0,3868,1,0,2,2,6,445,1,-1,0,3,0
41,46,0,0,1,0,2232,0,0,0,13,3,121,1,-1,0,3,1
42,40,9,1,1,0,214,0,0,0,25,1,59,6,-1,0,3,0
43,21,1,2,1,0,2265,0,0,0,27,8,156,4,99,2,2,0
44,43,1,2,0,0,548,1,0,2,7,8,98,1,-1,0,3,0
45,37,4,1,2,0,4436,0,0,0,13,1,846,5,-1,0,3,1
46,30,4,2,2,0,5561,1,0,0,19,9,511,1,-1,0,3,1
47,48,4,1,2,0,3842,0,0,0,1,10,168,1,122,2,2,0
48,44,7,1,0,0,2557,1,0,0,14,0,250,1,181,8,2,1
49,56,10,2,0,0,1110,0,0,0,4,3,945,2,-1,0,3,1
50,52,7,1,1,0,1000,0,0,0,5,1,766,2,-1,0,3,1
51,33,8,1,1,0,1536,0,0,0,9,3,359,1,92,3,2,1
52,41,0,0,1,0,322,1,0,2,6,8,87,4,-1,0,3,0
53,27,4,2,1,0,967,1,0,2,21,8,162,1,-1,0,3,0
54,27,0,1,1,0,-97,1,0,2,18,6,1528,2,-1,0,3,1
55,44,9,1,1,0,2857,0,0,0,5,1,318,2,-1,0,3,0
56,55,3,1,0,0,1563,1,0,0,17,9,128,2,-1,0,3,0
57,25,7,2,1,0,2311,0,1,0,21,5,1105,2,-1,0,3,1
58,36,4,1,2,0,3839,0,0,0,19,9,146,1,-1,0,3,0
59,33,4,2,2,0,1271,1,0,0,15,0,636,3,330,1,0,1
60,32,1,2,1,0,400,0,0,0,4,8,268,3,-1,0,3,1
61,61,5,1,1,0,86,0,0,0,25,4,639,1,94,1,2,1
62,39,1,1,0,0,2226,1,0,2,6,8,158,1,-1,0,3,0
63,41,2,1,0,0,39,1,0,0,21,9,549,2,-1,0,3,1
64,36,9,1,2,0,1354,0,0,0,7,11,281,3,97,2,2,1
65,55,10,1,1,0,-246,0,1,0,8,5,305,2,-1,0,3,0
66,32,7,1,1,0,1129,1,0,0,15,0,903,2,341,2,0,1
67,29,4,1,2,0,8103,0,0,0,28,8,473,3,-1,0,3,1
68,27,1,1,1,0,821,1,1,2,16,11,23,1,778,41,1,0
69,43,10,2,2,0,983,1,0,0,26,3,97,1,-1,0,3,1
70,32,9,2,2,0,1246,1,0,0,30,0,509,1,85,2,2,1
71,31,4,0,2,0,883,1,0,0,19,9,168,1,-1,0,3,0
72,41,6,1,1,0,20,0,0,2,5,6,333,1,-1,0,3,0
73,57,3,1,0,0,2785,0,0,0,11,1,610,4,-1,0,3,1
74,47,9,0,1,0,236,0,0,0,18,1,263,4,-1,0,3,0
75,29,9,2,2,0,910,1,0,0,11,8,278,1,-1,0,3,0
76,39,4,0,2,0,224,0,0,0,5,0,208,1,-1,0,3,1
77,35,4,2,2,0,62,1,0,0,20,0,213,3,-1,0,3,1
78,30,1,2,1,0,573,1,0,2,12,8,116,2,-1,0,3,0
79,36,1,1,1,0,1772,0,0,2,5,6,208,1,-1,0,3,1
80,32,1,2,1,0,6337,1,0,0,19,9,126,2,-1,0,3,0
81,42,2,1,1,0,46,0,0,0,2,3,1013,1,-1,0,3,0
82,30,0,1,1,0,4457,1,0,0,21,9,566,4,-1,0,3,1
83,35,6,0,2,0,1354,1,0,2,23,8,736,2,-1,0,3,1
84,29,1,1,1,0,8,1,1,0,10,5,627,1,-1,0,3,1
85,28,8,2,1,0,0,0,0,0,20,0,185,1,-1,0,3,1
86,30,9,2,2,0,411,0,0,0,22,10,127,3,149,2,0,1
87,30,9,2,1,0,3286,1,0,0,9,0,743,1,-1,0,3,1
88,46,4,2,2,0,593,1,0,0,29,4,190,3,-1,0,3,0
89,36,9,0,1,0,54,1,0,0,27,1,1642,3,-1,0,3,1
90,46,1,1,1,0,137,0,0,2,20,6,252,3,-1,0,3,0
91,60,10,1,0,0,0,0,0,0,22,5,1193,1,412,1,1,1
92,70,5,0,1,0,0,0,0,0,8,11,206,1,-1,0,3,1
93,34,1,1,1,0,800,0,0,0,5,0,144,1,-1,0,3,1
94,46,3,1,0,0,296,1,0,2,20,6,205,4,-1,0,3,0
95,51,1,1,1,0,-92,1,0,2,4,6,28,4,-1,0,3,0
96,41,0,2,1,0,90,1,0,0,15,8,77,2,347,4,0,0
97,32,0,2,1,0,212,0,0,0,7,5,830,5,-1,0,3,1
98,42,9,0,1,0,214,0,0,0,16,0,127,1,-1,0,3,1
99,46,9,1,1,0,3434,0,1,0,27,3,115,1,-1,0,3,1
100,43,4,1,1,0,107,1,1,1,28,10,135,1,-1,0,3,1
101,55,5,0,2,0,0,0,0,0,18,8,616,1,370,1,2,1
102,40,4,1,2,0,413,1,0,2,14,8,150,1,-1,0,3,0
103,29,0,2,2,0,41,1,0,0,13,1,148,2,-1,0,3,1
104,55,6,1,1,0,12159,1,0,0,20,9,142,2,174,2,0,0
105,43,4,0,2,0,2367,0,0,0,22,7,173,2,181,4,2,1
106,37,0,1,1,0,1283,1,0,2,20,8,209,1,-1,0,3,0
107,52,4,1,2,0,659,0,0,0,23,5,517,4,-1,0,3,0
108,25,1,2,1,0,192,0,0,1,4,5,112,2,-1,0,3,0
109,46,10,2,2,0,44,0,0,0,14,1,225,1,-1,0,3,1
110,51,1,0,0,0,5,0,0,0,29,5,600,2,-1,0,3,1
111,37,0,1,1,0,0,1,0,0,2,6,107,1,-1,0,3,1
112,38,4,2,2,0,4841,0,0,0,22,8,580,3,-1,0,3,0
113,43,6,1,0,0,66,1,0,2,7,8,175,5,-1,0,3,0
114,43,1,2,1,0,740,1,0,2,20,6,585,2,-1,0,3,1
115,36,0,2,1,0,787,0,0,2,17,6,92,1,-1,0,3,0
116,46,9,0,1,0,1,1,1,2,26,8,200,3,-1,0,3,0
117,79,5,1,0,0,429,0,0,1,8,5,1006,2,-1,0,3,1
118,45,9,0,1,0,0,0,0,0,26,1,64,2,-1,0,3,0
119,24,4,1,3,0,448,0,0,0,14,0,324,1,-1,0,3,1
120,61,4,1,2,0,175,0,0,1,5,1,270,2,-1,0,3,1
121,41,4,1,2,0,141,1,1,2,8,8,146,3,-1,0,3,0
122,55,10,1,0,0,1221,0,1,0,8,5,108,1,-1,0,3,0
123,48,4,1,2,0,1,0,0,1,10,9,248,1,-1,0,3,1
124,66,0,0,1,0,220,0,0,0,28,1,283,1,-1,0,3,0
125,38,4,1,2,0,385,1,0,1,28,10,154,1,-1,0,3,1
126,32,7,1,1,0,264,1,1,0,19,9,1502,1,-1,0,3,1
127,28,0,2,1,0,377,0,0,0,30,0,571,1,-1,0,3,1
128,50,9,0,1,0,-298,1,0,0,6,3,68,8,-1,0,3,0
129,30,7,1,1,0,1808,1,0,0,18,8,83,2,-1,0,3,0
