건물,호선,역,주소,cor
스타벅스,2.0,까치산,서울특별시 강서구 강서로 13길 3,"X :126.846079, Y :37.5322899"
다이소,2.0,까치산,서울특별시 강서구 화곡1동 343-58,"X :126.846669, Y :37.5310923"
이디야,2.0,까치산,서울특별시 강서구 화곡동 349-15,"X :126.845182, Y :37.5334059"
올리브영,2.0,까치산,서울특별시 강서구 강서로13길 3,"X :126.846079, Y :37.5322899"
스타벅스,2.0,신정네거리,서울특별시 양천구 신정동 981-15,"X :126.858815, Y :37.5219986"
다이소,2.0,신정네거리,서울특별시 양천구 신월로 291,"X :126.853556, Y :37.5214695"
이디야,2.0,신정네거리,서울특별시 양천구 신정동 922-17,"X :126.854635, Y :37.5249487"
올리브영,2.0,신정네거리,신정동 1032-11번지 양천구 서울특별시 KR,"X :126.853662, Y :37.5190550"
스타벅스,2.0,양천구청,서울특별시 양천구 목동 923,"X :126.870592, Y :37.5280038"
다이소,2.0,양천구청,서울특별시 양천구 신정동 오목로 238 LOND사옥,"X :126.863842, Y :37.5258698"
이디야,2.0,양천구청,서울특별시 양천구 신정동 323-16,"X :126.862289, Y :37.5152993"
올리브영,2.0,양천구청,서울특별시 양천구 신정동 목동동로 73,"X :126.862820, Y :37.5157684"
스타벅스,2.0,도림천,서울특별시 구로구 신도림동 413-9,"X :126.883931, Y :37.5054568"
다이소,2.0,도림천,서울특별시 구로구 신도림동 경인로 662 디큐브시티,"X :126.889592, Y :37.5089852"
이디야,2.0,도림천,서울특별시 구로구 신도림동 신도림로 65 101호,"X :126.882070, Y :37.5096086"
올리브영,2.0,도림천,서울특별시 구로구 신도림동 360-51,"X :126.882160, Y :37.5100141"
스타벅스,2.0,신도림,서울특별시 구로구 신도림동 413-9,"X :126.883931, Y :37.5054568"
다이소,2.0,신도림,서울특별시 구로구 신도림동 경인로 662 디큐브시티,"X :126.889592, Y :37.5089852"
이디야,2.0,신도림,서울특별시 구로구 신도림 테크노마트 1층,"X :우편번호없음, Y :x좌표없음"
올리브영,2.0,신도림,서울특별시 구로구 신도림동 360-51,"X :126.882160, Y :37.5100141"
스타벅스,2.0,문래,서울특별시 영등포구 문래동3가 55-5,"X :126.894862, Y :37.5171171"
다이소,2.0,문래,서울특별시 영등포구 당산로 42,"X :126.895902, Y :37.5182083"
이디야,2.0,문래,서울특별시 영등포구 문래동3가,"X :우편번호없음, Y :x좌표없음"
올리브영,2.0,문래,서울특별시 영등포구 문래동6가 5,"X :126.889033, Y :37.5196345"
스타벅스,2.0,영등포구청,"389-7 KR 서울특별시 영등포구 당산동3가 393, 389-2","X :x좌표없음, Y :y좌표없음"
다이소,2.0,영등포구청,서울특별시 영등포구 당산동5가 양평로 49 대림빌딩,"X :126.900948, Y :37.5340882"
이디야,2.0,영등포구청,서울특별시 영등포구 당산동3가 당산로 110,"X :126.896594, Y :37.5245159"
올리브영,2.0,영등포구청,서울특별시 영등포구 당산동5가,"X :우편번호없음, Y :x좌표없음"
스타벅스,2.0,당산,서울특별시 영등포구 당산로 231,"X :126.901886, Y :37.5344584"
다이소,2.0,당산,서울특별시 영등포구 당산동5가 양평로 49 대림빌딩,"X :126.900948, Y :37.5340882"
이디야,2.0,당산,당산동5가 11-33번지 당산디오빌 103-4호 영등포구 서울특별시 KR,"X :126.902273, Y :37.5332244"
올리브영,2.0,당산,서울특별시 영등포구 당산동5가,"X :우편번호없음, Y :x좌표없음"
스타벅스,2.0,합정,서울특별시 마포구 합정동 월드컵로1길 14,"X :126.912175, Y :37.5499818"
다이소,2.0,합정,서울특별시 마포구 합정동 독막로 33-1,"X :126.917303, Y :37.5483998"
이디야,2.0,합정,서울특별시 마포구 독막로2길 5,"X :126.914825, Y :37.5482538"
올리브영,2.0,합정,서울특별시 마포구 합정동 391-19,"X :126.909618, Y :37.5500158"
