Method,Models,Distant,Coordinate
E,"(0, 0)",0.07437306264683144,"(37.59630343903702, 127.0866008009594)"
A,"(0, 0)",0.09285050024677603,"(37.59659074393162, 127.08571085451449)"
C,"(0, 0)",0.11820137693058606,"(37.596960191850684, 127.08530743417958)"
D,"(0, 0)",0.11821984333980967,"(37.59593922687352, 127.08697169624857)"
A,"(4, 0)",0.13126840194489117,"(37.59605407714844, 127.08571085451449)"
D,"(0, 4)",0.14577123114234272,"(37.59593922687352, 127.0876693725586)"
C,"(0, 3)",0.16011384518344862,"(37.596960191850684, 127.08846630965266)"
E,"(0, 4)",0.1894247109522118,"(37.59630343903702, 127.08467102050781)"
C,"(2, 3)",0.21472747632164454,"(37.59568443300002, 127.08846630965266)"
C,"(2, 0)",0.22553574811437355,"(37.59524375600003, 127.08530743417958)"
A,"(0, 4)",0.22796524952013986,"(37.59659074393162, 127.0841064453125)"
A,"(2, 0)",0.23764611973690553,"(37.594967430000025, 127.08571085451449)"
A,"(4, 4)",0.24612729547032747,"(37.59605407714844, 127.0841064453125)"
E,"(2, 4)",0.25308387601509935,"(37.59532069240001, 127.08467102050781)"
A,"(2, 4)",0.29617566016727853,"(37.595228730000024, 127.0841064453125)"
D,"(2, 4)",0.3142670674169505,"(37.59426303600002, 127.0876693725586)"
A,"(4, 2)",0.32305711118422226,"(37.59605407714844, 127.08316966999995)"
E,"(2, 0)",0.35641320350227185,"(37.59376613100003, 127.0866008009594)"
A,"(0, 2)",0.3569933458148024,"(37.59659074393162, 127.08262552999994)"
D,"(4, 0)",0.3733327823107299,"(37.600318908691406, 127.08697169624857)"
D,"(4, 4)",0.38294942055940945,"(37.600318908691406, 127.0876693725586)"
C,"(0, 4)",0.39137647895646,"(37.596960191850684, 127.08220672607422)"
D,"(2, 0)",0.39423888003037305,"(37.59343496100002, 127.08697169624857)"
C,"(2, 4)",0.4057169316028704,"(37.59600971666669, 127.08220672607422)"
A,"(2, 2)",0.4311491343456737,"(37.59582029800002, 127.08197584999995)"
D,"(0, 2)",0.4386680928227053,"(37.59593922687352, 127.08184332999996)"
E,"(0, 2)",0.4577463890349682,"(37.59630343903702, 127.08152220999995)"
C,"(4, 0)",0.46138299977532643,"(37.592960357666016, 127.08530743417958)"
C,"(4, 3)",0.4738562835104663,"(37.592960357666016, 127.08846630965266)"
D,"(2, 2)",0.5036198786723738,"(37.594623695000024, 127.08176053000001)"
D,"(4, 2)",0.5186227300957915,"(37.600318908691406, 127.08255014999997)"
E,"(0, 3)",0.5295089002033663,"(37.59630343903702, 127.09259974873316)"
E,"(2, 3)",0.54092427271091,"(37.59577369300003, 127.09259974873316)"
C,"(0, 2)",0.5512891875254529,"(37.596960191850684, 127.0803916399999)"
C,"(2, 2)",0.5519820064163548,"(37.59571690200002, 127.08058710999991)"
E,"(4, 0)",0.5626502422268729,"(37.59191131591797, 127.0866008009594)"
E,"(4, 4)",0.5890054797361765,"(37.59191131591797, 127.08467102050781)"
C,"(4, 4)",0.5933681302303968,"(37.592960357666016, 127.08220672607422)"
E,"(2, 2)",0.5992503782577672,"(37.594389507000024, 127.08067860999998)"
C,"(4, 2)",0.7400495094290782,"(37.592960357666016, 127.07994597999992)"
E,"(4, 3)",0.7690512601617582,"(37.59191131591797, 127.09259974873316)"
E,"(4, 2)",0.8192441002437089,"(37.59191131591797, 127.07989019999992)"
A,"(0, 3)",1.2343876419318132,"(37.59659074393162, 127.10065157866926)"
