,건물,호선,역,주소
1,이디야,1,인천역,인천광역시 중구 58-1
2,다이소,1,인천역,인천광역시 중구 인현동 19-7
3,올리브영,1,인천역,"인천광역시 부평구 광장로 16 인천 부평구 광장로 16 민자역사 지하2층 35,37 38호"
4,스타벅스,1,인천역,인천광역시 남구 용현동 630-9
5,이디야,1,동인천역,인천광역시 중구 58-1
6,다이소,1,동인천역,인천광역시 중구 인현동 19-7
7,올리브영,1,동인천역,인천광역시 남구 숙골로 87번길 5 2단지 142~45호 더샵인천스카이타워
8,스타벅스,1,동인천역,인천광역시 남구 용현동 630-9
9,이디야,1,도원역,인천광역시 중구 58-1
10,다이소,1,도원역,인천광역시 남구 도화동 706-3
11,올리브영,1,도원역,용현동 190-35번지 1층 남구 인천광역시 KR
12,스타벅스,1,도원역,인천광역시 남구 숭의동 78-2
13,이디야,1,제물포역,인천광역시 남구 숭의4동 59-9
14,다이소,1,제물포역,인천광역시 남구 숭의4동 51-21
15,올리브영,1,제물포역,인천광역시 남구 숙골로 87번길 5 2단지 142~45호 더샵인천스카이타워
16,스타벅스,1,제물포역,인천광역시 남구 숭의동 78-2
17,이디야,1,도화역,인천광역시 남구 도화동 104-8번지 기아자동차 103호
18,다이소,1,도화역,인천광역시 남구 도화동 706-3
19,올리브영,1,도화역,주안동 30-1번지 아이존쇼핑몰 A동 B1층 남구 인천광역시 KR
20,스타벅스,1,도화역,"141-1, Juan-Dong Nam-Gu, 1,2F, Incheon, 인천광역시"
21,이디야,1,주안역,인천광역시 남구 주안1동
22,다이소,1,주안역,인천광역시 남구 주안5동 125
23,올리브영,1,주안역,주안동 30-1번지 아이존쇼핑몰 A동 B1층 남구 인천광역시 KR
24,스타벅스,1,주안역,"141-1, Juan-Dong Nam-Gu, 1,2F, Incheon, 인천광역시"
25,이디야,1,간석역,인천광역시 남구 주안6동 46-1
26,다이소,1,간석역,인천광역시 남동구 간석4동 762-25
27,올리브영,1,간석역,주안동 30-1번지 아이존쇼핑몰 A동 B1층 남구 인천광역시 KR
28,스타벅스,1,간석역,인천광역시 남동구 617-6
29,이디야,1,동암역,인천광역시 부평구 십정동 406-3
30,다이소,1,동암역,인천광역시 남구 숭의4동 51-21
31,올리브영,1,동암역,인천광역시 부평구 십정2동 408-14
32,스타벅스,1,동암역,인천광역시 부평구 십정2동 402-56
33,이디야,1,백운역,인천광역시 부평구 십정동 186-114
